序號,詞語,級別,注音,漢拼,詞類/性質,詞彙英譯,語義/義項,情境,用法-常用搭配詞,例句
872,奶奶,第2*級,ㄋㄞˇ ˙ㄋㄞ,nǎinai,N,"grandmother, old lady",爸爸的媽媽，或是比較老的女生。,1.個人資料,老奶奶,我奶奶以前是這家醫院的醫生。我家對面的老奶奶每天早上都會去運動。
873,難過,第2*級,ㄋㄢˊ ㄍㄨㄛˋ,nánguò,Vs,"to be sad, to feel bad",不快樂，心裡覺得不舒服。,核心詞,,他因為考試成績不好，所以很難過。
874,男生,第2*級,ㄋㄢˊ ㄕㄥ,nánshēng,N,"male, man, boy",,核心詞,一個男生,我們班的男生比女生多三個。
875,年級,第2*級,ㄋㄧㄢˊ ㄐㄧˊ,niánjí,N,grade,,8.教育、學習,每個年級，三年級,我的弟弟是大學二年級的學生。
876,念書/唸書,第2*級,ㄋㄧㄢˋ ㄕㄨ,niànshū,V,to study,學習。,8.教育、學習,好好念書，念三個小時的書,明天要考試了，我今天晚上要好好念書。我昨天下午在圖書館念了三個小時的書。我希望以後可以去法國念書。
877,女生,第2*級,ㄋㄩˇ ㄕㄥ,nǚshēng,N,"girl, female, woman",,核心詞,一個女生,我們班有五個女生，三個男生。
878,盤子/盤,第2*級,ㄆㄢˊ ˙ㄗ / ㄆㄢˊ,pánzi / pán,N,"plate, dish",,核心詞,一個盤子,我的盤子裡面有青菜跟肉。
879,盤子/盤,第2*級,ㄆㄢˊ ˙ㄗ / ㄆㄢˊ,pánzi / pán,M,classifier for plates,,核心詞,一盤肉,桌子上有一盤烤肉、一盤炸雞、一盤青菜。
880,跑步,第2*級,ㄆㄠˇ ㄅㄨˋ,pǎobù,V,to run,,4.休閒、娛樂,,沒有時間了，我跑步去上學。
881,跑步,第2*級,ㄆㄠˇ ㄅㄨˋ,pǎobù,N,running,,4.休閒、娛樂,,跑步是很好的運動。
882,票,第2*級,ㄆㄧㄠˋ,piào,N,ticket,,4.休閒、娛樂,一張票，電影票，機票，學生票,我還沒買回國的機票。
883,皮包,第2*級,ㄆㄧˊ ㄅㄠ,píbāo,N,"purse, handbags",,9.購物、商店,一個皮包,我的皮包裡有錢包跟車票。
884,啤酒,第2*級,ㄆㄧˊ ㄐㄧㄡˇ,píjiǔ,N,beer,,10.餐飲、烹飪,一杯啤酒，冰啤酒,他喜歡在洗澡以後喝一杯啤酒。
885,蘋果,第2*級,ㄆㄧㄥˊ ㄍㄨㄛˇ,píngguǒ,N,apple,一種水果。,10.餐飲、烹飪,一個蘋果,在台灣可以吃到很多水果，像香蕉、蘋果，還有西瓜。
886,瓶子/瓶,第2*級,ㄆㄧㄥˊ ˙ㄗ / ㄆㄧㄥˊ,píngzi / píng,N,bottle,,,一個瓶子，花瓶，酒瓶,這個瓶子很漂亮。
887,瓶子/瓶瓶,第2*級,ㄆㄧㄥˊ ˙ㄗ / ㄆㄧㄥˊ ㄆㄧㄥˊ,píngzi / píng  píng,M,classifier for bottles,,,一瓶酒,他喝了一瓶汽水以後就不渴了。
888,汽水,第2*級,ㄑㄧˋ ㄕㄨㄟˇ,qìshuǐ,N,"soda, soft drink",,10.餐飲、烹飪,一瓶汽水，一罐汽水,很多人看電影的時候喜歡喝汽水。
889,錢包,第2*級,ㄑㄧㄢˊ ㄅㄠ,qiánbāo,N,"purse, wallet",,核心詞,一個錢包,我的錢包裡有錢和信用卡。
890,輕,第2*級,ㄑㄧㄥ,qīng,Vs,light,,核心詞,,這袋水果比較輕，你拿吧。
891,青菜,第2*級,ㄑㄧㄥ ㄘㄞˋ,qīngcài,N,vegetable,,10.餐飲、烹飪,五種青菜，一把青菜,多吃青菜身體會比較健康。
892,秋天/秋,第2*級,ㄑㄧㄡ ㄊㄧㄢ / ㄑㄧㄡ,qiūtiān  / qiū,N,"autumn, fall",夏天以後，冬天以前的時候。,核心詞,去年秋天,秋天的時候，山上的樹都變了顏色。
893,裙子/裙,第2*級,ㄑㄩㄣˊ ˙ㄗ / ㄑㄩㄣˊ,qúnzi / qún,N,skirt,,9.購物、商店,一條裙子，長裙,他今天穿著一條黑色的裙子。
894,熱狗,第2*級,ㄖㄜˋ ㄍㄡˇ,règǒu,N,hot dog,,10.餐飲、烹飪,,我午餐只吃了熱狗，所以現在餓了。
895,日文,第2*級,ㄖˋ ㄨㄣˊ,rìwén,N,Japanese (language),日本的語言。,8.教育、學習,,他覺得日文比英文容易。
896,日語,第2*級,ㄖˋ ㄩˇ,rìyǔ,N,spoken Japanese,日本的語言。,8.教育、學習,,他打算學日語。
897,三明治,第2*級,ㄙㄢ ㄇㄧㄥˊ ㄓˋ,sānmíngzhì,N,sandwich,,10.餐飲、烹飪,火腿三明治，一個三明治,早上我常常自己做三明治。
898,色,第2*級,ㄙㄜˋ,sè,N,color,顏色。,核心詞,白色，紅色,他穿的那條紅色裙子很漂亮。
899,商店,第2*級,ㄕㄤ ㄉㄧㄢˋ,shāngdiàn,N,"store, shop",賣東西的店。,9.購物、商店,商店老闆,我常到路口的商店買牛奶。
900,上班,第2*級,ㄕㄤˋ ㄅㄢ,shàngbān,V,"to go to work, to be on duty, to go to the office",去工作。,3.職業,在上班，上班時間，上一天班,我希望自己以後可以到好公司上班。
901,上網,第2*級,ㄕㄤˋ ㄨㄤˇ,shàngwǎng,V,"online, to surf the net",用網路。,2.日常起居,用手機上網，上網聊天，上一下網,他上網上了三個小時。
902,上學,第2*級,ㄕㄤˋ ㄒㄩㄝˊ,shàngxué,V,"go to school, attend school, be at school",到學校上課。,8.教育、學習,去上學，一起上學，走路上學,A：「你平常怎麼去上學？」B：「我走路去上學。」
903,生氣,第2*級,ㄕㄥ ㄑㄧˋ,shēngqì,Vs,angry,非常不高興。,核心詞,對……生氣，生(人)的氣,他忘了做這件事，所以老闆很生氣。
904,十字路口,第2*級,ㄕˊ ㄗˋ ㄌㄨˋ ㄎㄡˇ,shízìlùkǒu,N,"crossroads, intersection",,5.交通、旅遊,,十字路口的車子很多。
905,市,第2*級,ㄕˋ,shì,N,"administrative district, administrative area",,核心詞,台北市，台中市，台南市，新北市,我的學校在台北市，我住的地方在新北市。
906,室友,第2*級,ㄕˋ ㄧㄡˇ,shìyǒu,N,roommate,住在同一個房間或是房子裡的人，但是不是家人。,2.日常起居,一位室友,我的室友是德國人。
907,手錶/手表/錶/表1,第2*級,ㄕㄡˇ ㄅㄧㄠˇ / ㄅㄧㄠˇ,shǒubiǎo / biǎo,N,"watch, wrist watch",,9.購物、商店,戴手錶，一支手錶,我戴著黑色的手錶。
908,書包,第2*級,ㄕㄨ ㄅㄠ,shūbāo,N,"schoolbag, satchel",放書的背包。,8.教育、學習,一個書包,媽媽買了一個新書包給妹妹。
909,書店,第2*級,ㄕㄨ ㄉㄧㄢˋ,shūdiàn,N,bookstore,賣書的商店。,2.日常起居,一家書店,台灣有24小時都開著的書店，有空可以去看看。
910,書房,第2*級,ㄕㄨ ㄈㄤˊ,shūfáng,N,study,家裡面看書的房間。,2.日常起居,一間書房,爸爸每天晚上都會在書房看書。
911,叔叔/叔,第2*級,ㄕㄨˊ ˙ㄕㄨ / ㄕㄨˊ,shúshu / shú,N,uncle,爸爸的弟弟，或是比爸爸年輕的男人。,1.個人資料,,我有伯伯，也有叔叔。
912,司機,第2*級,ㄙ ㄐㄧ,sījī,N,"chauffeur, driver",開車的人。,5.交通、旅遊,一位司機，公車司機，計程車司機;,那位公車司機很客氣。;
913,酸,第2*級,ㄙㄨㄢ,suān,Vs,sour,一種味道。,10.餐飲、烹飪,酸的味道,我喜歡吃有一點酸的蘋果。
914,宿舍,第2*級,ㄙㄨˋ ㄕㄜˋ,sùshè,N,"dormitory, dorm room",學校或是公司讓學生或是工作的人住的地方。,2.日常起居,一間宿舍，學生宿舍，公司宿舍，學校宿舍,我們宿舍有很多不同國家的學生。
915,湯匙,第2*級,ㄊㄤ ㄔˊ,tāngchí,N,"spoon, soup spoon, tablespoon",,10.餐飲、烹飪,一支湯匙,小孩子用湯匙吃飯。
916,糖,第2*級,ㄊㄤˊ,táng,N,"sugar, candy",,10.餐飲、烹飪,加糖，水果糖,他喝咖啡的時候不會加糖。小孩子都很愛吃糖。
917,踢,第2*級,ㄊㄧ,tī,V,to kick,,核心詞,踢足球,他一生氣就會踢門。
918,甜點,第2*級,ㄊㄧㄢˊ ㄉㄧㄢˇ,tiándiǎn,N,dessert,甜的點心。,10.餐飲、烹飪,一道甜點,這家店的甜點都很好吃。
919,頭髮/髮,第2*級,ㄊㄡˊ ㄈㄚˇ / ㄈㄚˇ,tóufǎ / fǎ,N,hair (on the head),,7.身體、醫療,白頭髮，長頭髮,我覺得長頭髮、短頭髮都很好看。
920,圖書館,第2*級,ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ,túshūguǎn,N,library,,8.教育、學習,學校圖書館,很多學生下課以後都會到圖書館念書。
921,脫,第2*級,ㄊㄨㄛ,tuō,V,"take off (one's clothes), undress",,核心詞,脫衣服，脫鞋,我一進教室就脫外套。
922,外套,第2*級,ㄨㄞˋ ㄊㄠˋ,wàitào,N,"coat, jacket",天氣冷的時候穿在最外面的衣服。,9.購物、商店,一件外套，脫外套，穿外套,天氣冷了，出去的時候要穿外套。
923,網球,第2*級,ㄨㄤˇ ㄑㄧㄡˊ,wǎngqiú,N,tennis ball,,4.休閒、娛樂,打網球，網球比賽,他參加了學校的網球比賽。
924,網站,第2*級,ㄨㄤˇ ㄓㄢˋ,wǎngzhàn,N,"website, network station, node",網路上各個不一樣的地方。,4.休閒、娛樂,,如果你想租房子，這個網站有很多便宜的房子。
925,忘,第2*級,ㄨㄤˋ,wàng,Vp,to forget,不記得。,核心詞,忘了，沒忘,我忘了帶手機。別忘了明天要付房租。
926,喂,第2*級,ㄨㄟˊ,wéi,Ptc,discourse particle: hello (when answering the phone),接電話的時候說的話。,核心詞,,喂，請問您找誰？
927,西瓜,第2*級,ㄒㄧ ㄍㄨㄚ,xīguā,N,watermelon,一種水果。,10.餐飲、烹飪,半個西瓜,夏天的時候吃西瓜很舒服。
928,洗手間,第2*級,ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ,xǐshǒujiān,N,"toilet, lavatory, washroom",,2.日常起居,一間洗手間,這家便利商店的洗手間很乾淨。
929,洗澡,第2*級,ㄒㄧˇ ㄗㄠˇ,xǐzǎo,V,"to take a bath, take a shower",用水洗身體。,2.日常起居,洗兩次澡,夏天天氣太熱，所以我一天洗兩次澡。
930,下班,第2*級,ㄒㄧㄚˋ ㄅㄢ,xiàbān,V,"to finish work, to get off work",時間到了，離開工作的地方。,3.職業,下班回家，下班時間，下班以後，下了班,今天下班後我要跟朋友一起吃飯。
931,下雪,第2*級,ㄒㄧㄚˋ ㄒㄩㄝˇ,xiàxuě,V,to snow,,13.自然環境,下雪了，下大雪,在我的國家，冬天常常下雪。
932,鹹,第2*級,ㄒㄧㄢˊ,xián,Vs,salty,一種味道。,10.餐飲、烹飪,鹹的味道,吃太鹹的東西對身體不好。
933,香蕉,第2*級,ㄒㄧㄤ ㄐㄧㄠ,xiāngjiāo,N,banana,一種水果。,10.餐飲、烹飪,,香蕉是我最喜歡的水果。
934,小學,第2*級,ㄒㄧㄠˇ ㄒㄩㄝˊ,xiǎoxué,N,"elementary school, primary school",在台灣，6歲~12歲的小孩子上學的地方。,1.個人資料,一所小學，小學老師,我家附近有一所小學。.我姊姊是小學老師，她教一年級。
935,新年,第2*級,ㄒㄧㄣ ㄋㄧㄢˊ,xīnnián,N,New Year,一年的開始。,15.文化,新年快樂，過新年,新年快到了，大家都準備回家跟家人吃飯。
936,信用卡,第2*級,ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ,xìnyòngkǎ,N,credit card,一種可以買東西的卡片。,9.購物、商店,一張信用卡,用信用卡買東西很方便。
937,雪,第2*級,ㄒㄩㄝˇ,xuě,N,snow,,5.交通、旅遊,一場雪,雪這麼大，開車要小心一點。
938,眼鏡,第2*級,ㄧㄢˇ ㄐㄧㄥˋ,yǎnjìng,N,"glasses, eyeglasses, spectacles",,9.購物、商店,戴眼鏡,我今天沒戴眼鏡，所以看不清楚。
939,要是,第2*級,ㄧㄠˋ ㄕˋ,yàoshì,Conj,"if, suppose to",如果。,核心詞,要是……就……,要是下雨，我就不去騎腳踏車了。
940,爺爺,第2*級,ㄧㄝˊ ˙ㄧㄝ,yéye,N,"grandfather, old man",爸爸的爸爸，或是很老的男人。,1.個人資料,一位老爺爺,他的爺爺從前是一位小學老師。那位老爺爺每天都會到學校運動。
941,野餐,第2*級,ㄧㄝˇ ㄘㄢ,yěcān,V,to picnic,帶著東西到公園、山上、河邊等地方坐著吃。,4.休閒、娛樂,,今天天氣很好，我們決定去公園野餐。
